Prospect_Code,Ext_Ref_Prospect_Id,Tenant_Code,Ext_Ref_Tenant_Id,FirstName,MiddleName,LastName,Parent_Code,Salutation,Address1,Address2,City,State,ZipCode,HowLong,HomePhone,OfficePhone,CellPhone,Fax,FedId,Email,Date_Of_Birth,Drivers_License,DLState,Income,RelationShip,Occupant,LeaseStep,Status,Preferred_Rent,Preferred_Bedrooms,Preferred_Bath,Preferred_MoveIn,Property_Code,Ref_Property_ID,UnitType_Code,Unit_Code,LeaseFrom,LeaseTo,Source,SecondarySource,Agent,Previous_Address1,Previous_Address2,Previous_City,Previous_State,Previous_ZipCode,Previous_HowLong,Previous2_Address1,Previous2_Address2,Previous2_City,Previous2_State,Previous2_ZipCode,Company,Position,DtStart,Emp_Address1,Emp_Address2,Emp_City,Emp_State,Emp_Zip,Emp_Phone ,EmergencyCont_Name,EmergencyCont_Relation,EmergencyCont_TelHome,Emergency_Phone,AutoType1,AutoColor1,License1,State1,AutoType2,AutoColor2,License2,State2,First_Contacted_On,Date_Show,Date_Applied,Date_Approved,Date_Canceled,Date_Denied,Payment,Check_Number,Notes,Summary,Subsidized,CardType,CardNumber ,CardExpiration,LeaseTerm,FirstContactType,Applicant,QuotedRent,Customer,TelAlt,WebLinks,B50059,TaxCredit,Home,RD,FailValidation,Aff_Lease_Step,ShowAgent,Country,Address3,Address4,WebLinksStep,ProspectCopiedTo,ProspectCopiedFrom,Roommate_Code,Roommate_LastName,Roommate_FirstName,Room,Bed,Student,SLeadxRef,InterFaceConfig,Maiden_Name,CurrentAddress_StartDate,CurrentAddress_MonthlyRent,CurrentAddress_ReasonForMoving,PreviousAddress_StartDate,PreviousAddress_MonthlyRent,PreviousAddress_ReasonForMoving,CurrentEmployment_AdditionalIncome,CurrentEmployment_AdditionalIncomeSource,Ref_Unit_Id
p0000001,,t0000001,,Abul,,Ali,,,20 Triton Place,Regents Park,,,NW1 1TA,0,,,852258852,,,abul@gmail.gz,,,,0,,0,90,7,0,1,,03/08/2020,44400001,,01_A_A1,A-0103,22/05/2020,21/05/2021,Facebook Ad,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,20/05/2020,03/08/2020,19/05/2020,,,,,,,,,,12,Email,0,2407,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000002,,,,TEST,,Roommate1,p0000001,,20 Triton Place,Regents Park,,,NW1 1TA,0,,,,,,,,,,0,Roommate,0,0,0,0,0,,,44400001,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000001,Roommate1,TEST,92,,0,,0,,,0,,,,,,,
p0000024,,,,TEST,,Roommate2,p0000001,,20 Triton Place,Regents Park,,,NW1 1TA,0,,,,,,,,,,0,Roommate,0,0,0,0,0,,,44400001,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000010,Roommate2,TEST,347,,0,,0,,,0,,,,,,,
c0000003,,,,Abul,,Ali,,Mr.,20 Triton Place,Regents Park,,,NW1 1TA,0,,,,,,rentcafe.lendlease+thor@gmail.com,,,,0,,0,40,4,0,1,,22/05/2020,rc_test,,RC1B1B,RCUNIT04,22/05/2020,21/05/2021,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/05/2020,,18/05/2020,,,,,,,,,,,,12,Email,0,2600,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
,,,,TEST,,Roommate,c0000003,,20 Triton Place,Regents Park,,,NW1 1TA,0,,,,,,,,,,0,Roommate,0,0,0,0,0,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000004,,t0000002,,Thor,,Odinson,,,20 Triton Place,,London,,NW1 1TA,0,,,,,,rentcafe.lendlease+thor@gmail.com,,,,0,,0,90,7,1200,1,,20/06/2020,rc_test,,RC1B1B,RCUNIT05,13/06/2020,12/06/2023,Internet Ad,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,,08/06/2020,08/06/2020,,,,,,,,,,,36,Call,0,2650,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000005,,,,Captain,,Marvel,p0000004,,20 Triton Place,,London,,NW1 1TA,0,,,,,,,,,,0,Roommate,0,0,0,0,0,,,rc_test,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000002,Marvel,Captain,101,,0,,0,,,0,,,,,,,
p0000006,,t0000003,,Peter,,Rabbit,,,The Warren,On the Hill,London,,NW1 1TA,0,234567891,123456789,456789123,345678912,,rentcafe.lendlease+peterrabbit@gmail.com,,,,0,,0,90,3,0,1,,20/06/2020,rc_test,,RC1B1B,RCUNIT01,20/06/2020,19/06/2022,SalesForce,,Salesforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/06/2020,,08/06/2020,12/06/2020,,,,,,,,,,,24,Email,0,2900,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000007,,,,Benjamin,,Bunny,p0000006,,The Warren,On the Hill,London,,NW1 1TA,0,234567891,123456789,456789123,345678912,,,,,,0,Roommate,0,0,0,0,0,,,rc_test,,,,,,,,Salesforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000003,Bunny,Benjamin,104,,0,,0,,,0,,,,,,,
p0000008,,,,James,,Bond,,,Mi5,Southbank,London,,S1,0,,,,,,,,,,0,,0,20,4,0,0,,,44400001,,,,,,Local Agent,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,,,,,,,,,,,,,,0,Email,0,0,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
