Property_Code,Ref_Property_ID,Tenant_Code,Ext_Ref_Tenant_Id,Prospect_Code,Ref_Prospect_Id,Unit_Code,First_Name,Last_Name,Social_Security_Number,Move_In_Date,Move_Out_Date,Notice_Date,Lease_From_Date,Lease_To_Date,Lease_Sign_Date,Email,Phone_Number_1,Phone_Number_2,Phone_Number_3,Phone_Number_4,Status,General_Info_1,General_Info_2,General_Info_3,General_Info_4,General_Info_5,General_Info_6,General_Info_7,General_Info_8,General_Info_9,General_Info_10,General_Info_11,General_Info_12,General_Info_13,General_Info_14,Address1,Address2,City,State,Zipcode,Rent,Due_Day,Last_Month_Rent_Deposit,Paid_To_Date,Salutation,Renew_Date,Security_Deposit_0,Security_Deposit_1,Security_Deposit_2,Security_Deposit_3,Security_Deposit_4,Security_Deposit_5,Security_Deposit_6,Security_Deposit_7,Security_Deposit_8,Security_Deposit_9,Non_Sufficient_Fund_Count,Late_Fee_Count,Middle_Name,LateMin,LatePerDay,LateType,LateGrace,LatePercent,LateGrace2,LateAmount2,LatePercent2,LateAmountMax,LatePercentMax,LateDaysMax,LateTypeMax,LateType2,LateMinDueAmount,LeaseGrossSQFT,MovedOut,MaintenanceNotes,LeaseType,BillToCustomer,ExtraAddressLine,Gets1099,Payment_Type,Payable_Type,ACHOptOut,MTM,LeaseTerm,NoticeType,Affordable_Type,Ref_Unit_Id,RGI_Type
44400001,,t0000001,,p0000001,,A-0103,Abul,Ali,,8/3/2020,,,8/3/2020,8/2/2021,8/3/2020,,,,,,0,,,,,,,,,,,,,,,7 New Lion Way,Ashwell Apartments,London,,SE17 1GN,2407,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
44400001,,t0000004,,p0000009,,A-0203,Father,Christmas,,,,,9/1/2020,8/31/2021,,,,,,,7,,,,,,,,,,,,,,,Northpole,,Lapland,,L1,2407,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
44400001,,t0000211,,p0000016,,A-0701,Tesla,Corporation,,8/3/2020,,,8/3/2020,8/2/2023,8/3/2020,spacex@gmail.gz,,,,569874123,0,,,,,,,,,,,,,,,7 New Lion Way,Ashwell Apartments,London,,SE17 1GN,2462,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,36,0,0,,0
44400001,,t0000213,,p0000020,,B-0603,Asgard,Enterprises,,8/3/2020,,,8/3/2020,8/2/2021,,asgard@gmail.gz,,,,123789456,6,,,,,,,,,,,,,,,20 Triton Place,,London,,NW1 1TA,2417,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
44400001,,t0000210,,p0000014,,D-2402,Spongebob,Squarepants,,8/22/2020,,,8/22/2020,8/21/2021,8/3/2020,spongebob@gmail.gz,,,,987654321,2,,,,,,,,,,,,,,,5 Bikini Bottom,The Atoll,London,,SW12 1TT,3000,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
44400001,,t0000214,,p0000013,,D-2408,Taylor,Swift,,8/3/2020,,,8/3/2020,8/2/2022,8/3/2020,abc1@gmail.gz,,,,,0,,,,,,,,,,,,,,,52 New Kent Road,New Cooper Point,London,,SE1 6FW,2522,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,24,0,0,,0
rc_test,,t0000003,,p0000006,,RCUNIT01,Peter,Rabbit,,,,,,,,rentcafe.lendlease+peterrabbit@gmail.com,123456789,234567891,345678912,456789123,7,,,,,,,,,,,,,,,The Warren,On the Hill,London,,NW1 1TA,2900,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,24,0,0,,0
rc_test,,t0000212,,p0000018,,RCUNIT04,A1,TEST,,8/3/2020,,,8/3/2020,8/2/2021,8/3/2020,A1test@gmail.gz,,,,789456123,0,,,,,,,,,,,,,,,Rent Cafe Test Property Unit 04,201-249 Avebury Blvd,Milton Keynes,,MK9 1AZ,2600,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
rc_test,,t0000002,,p0000004,,RCUNIT05,Thor,Odinson,,6/20/2020,,7/10/2020,6/13/2020,6/12/2023,6/8/2020,rentcafe.lendlease+thor@gmail.com,234567891,123456789,456789123,345678912,4,UD0,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,UD11,UD12,UD13,Rent Cafe Test Property Unit 05,201-249 Avebury Blvd,Milton Keynes,,MK9 1AZ,2650,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,36,1,0,,0
4440s001,,t0000008,,,,E-0101,,London and Quadrant Housing Trust,,1/1/2018,,,1/1/2018,12/31/2267,,scinvoices@lqgroup.org.uk,,,,,0,,,,,,,,,,,,,,,Cray House,,,,,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,0,,0,,0,,,0,0,0,,0,0,,0,0,0,0,,,,,,0
